"DATE","county","max_prcp","min_prcp","mean_prcp"
"2021-07-04","Alachua County",1.33,0.05,0.486666666666667
"2021-07-04","Baker County",0.05,0.01,0.03
"2021-07-04","Bay County",3.36,0.04,1.51166666666667
"2021-07-04","Brevard County",0.5,0,0.14275
"2021-07-04","Broward County",0.02,0,0.00291666666666667
"2021-07-04","Charlotte County",0.03,0,0.00363636363636364
"2021-07-04","Citrus County",2.2,0.61,1.43454545454545
"2021-07-04","Clay County",0.26,0,0.041
"2021-07-04","Collier County",0,0,0
"2021-07-04","Columbia County",0.23,0,0.132857142857143
"2021-07-04","DeSoto County",0,0,0
"2021-07-04","Dixie County",2.41,1.6,2.07
"2021-07-04","Duval County",2.37,0,0.264090909090909
"2021-07-04","Escambia County",1.3,0,0.335625
"2021-07-04","Flagler County",0.15,0,0.0175
"2021-07-04","Franklin County",1.22,0,0.59
"2021-07-04","Gadsden County",0.04,0,0.014
"2021-07-04","Glades County",0,0,0
"2021-07-04","Gulf County",0.05,0.05,0.05
"2021-07-04","Hamilton County",0.08,0.08,0.08
"2021-07-04","Hardee County",2.33,1.55,1.94
"2021-07-04","Hendry County",2.37,0,0.445
"2021-07-04","Hernando County",3.42,0.01,1.19545454545455
"2021-07-04","Highlands County",1.87,0,0.942727272727273
"2021-07-04","Hillsborough County",4.82,0,1.92783783783784
"2021-07-04","Holmes County",0,0,0
"2021-07-04","Indian River County",0.63,0,0.32
"2021-07-04","Jackson County",0.01,0,0.005
"2021-07-04","Jefferson County",0.08,0,0.0275
"2021-07-04","Lafayette County",0.61,0.61,0.61
"2021-07-04","Lake County",0.87,0.4,0.632666666666667
"2021-07-04","Lee County",0,0,0
"2021-07-04","Leon County",0.67,0,0.0854545454545455
"2021-07-04","Levy County",2.1,0.85,1.364
"2021-07-04","Manatee County",2.29,0,1.04214285714286
"2021-07-04","Marion County",1.39,0.16,0.559444444444444
"2021-07-04","Martin County",0.45,0,0.0771428571428571
"2021-07-04","Miami-Dade County",0.01,0,0.000434782608695652
"2021-07-04","Monroe County",0,0,0
"2021-07-04","Nassau County",0.1,0.02,0.06
"2021-07-04","Okaloosa County",2.5,0,1.02166666666667
"2021-07-04","Okeechobee County",0.33,0,0.165
"2021-07-04","Orange County",1.35,0,0.630416666666667
"2021-07-04","Osceola County",0.7,0.09,0.344285714285714
"2021-07-04","Palm Beach County",0.12,0,0.006
"2021-07-04","Pasco County",3.35,0.42,1.79230769230769
"2021-07-04","Pinellas County",2.9,0,0.893103448275862
"2021-07-04","Polk County",1.56,0,0.74
"2021-07-04","Putnam County",0.53,0,0.12625
"2021-07-04","Santa Rosa County",1.58,0,0.454
"2021-07-04","Sarasota County",1.11,0,0.313888888888889
"2021-07-04","Seminole County",1.12,0.09,0.408461538461538
"2021-07-04","St. Johns County",0.6,0,0.0618181818181818
"2021-07-04","St. Lucie County",0.75,0,0.221428571428571
"2021-07-04","Sumter County",1.21,0.91,1.046
"2021-07-04","Suwannee County",0.04,0,0.014
"2021-07-04","Taylor County",1.35,1.35,1.35
"2021-07-04","Volusia County",0.09,0,0.0281578947368421
"2021-07-04","Wakulla County",1.65,0.02,0.835
"2021-07-04","Walton County",1.93,0,0.358333333333333
"2021-07-04","Washington County",0.42,0,0.1775
"2021-07-05","Alachua County",1.05,0,0.61
"2021-07-05","Baker County",0.04,0,0.02
"2021-07-05","Bay County",1.73,0.01,0.52
"2021-07-05","Brevard County",2.3,0,0.594473684210526
"2021-07-05","Broward County",0.53,0,0.0592307692307692
"2021-07-05","Charlotte County",0,0,0
"2021-07-05","Citrus County",1.57,0,0.835833333333333
"2021-07-05","Clay County",0.2,0.02,0.0953846153846154
"2021-07-05","Collier County",0.37,0,0.0553333333333333
"2021-07-05","Columbia County",0.75,0,0.265
"2021-07-05","DeSoto County",0,0,0
"2021-07-05","Dixie County",1.49,0.5,0.935
"2021-07-05","Duval County",4.42,0.01,1.01545454545455
"2021-07-05","Escambia County",1.57,0,0.326666666666667
"2021-07-05","Flagler County",1.29,0.09,0.541538461538462
"2021-07-05","Franklin County",0.48,0,0.16
"2021-07-05","Gadsden County",0.75,0.12,0.272
"2021-07-05","Gilchrist County",0.88,0.88,0.88
"2021-07-05","Glades County",0,0,0
"2021-07-05","Gulf County",0.1,0.1,0.1
"2021-07-05","Hamilton County",0.13,0.13,0.13
"2021-07-05","Hardee County",0.07,0,0.035
"2021-07-05","Hendry County",0.42,0,0.166666666666667
"2021-07-05","Hernando County",0.17,0,0.0258333333333333
"2021-07-05","Highlands County",1.03,0,0.105
"2021-07-05","Hillsborough County",1.69,0,0.0751428571428571
"2021-07-05","Holmes County",0,0,0
"2021-07-05","Indian River County",0.27,0,0.0366666666666667
"2021-07-05","Jackson County",2.01,0,1.005
"2021-07-05","Jefferson County",1.05,0,0.4175
"2021-07-05","Lafayette County",0.24,0.24,0.24
"2021-07-05","Lake County",1,0,0.38
"2021-07-05","Lee County",0.14,0,0.019
"2021-07-05","Leon County",1.05,0.03,0.403333333333333
"2021-07-05","Levy County",0.79,0.05,0.41
"2021-07-05","Manatee County",0.6,0,0.0428571428571429
"2021-07-05","Marion County",1.72,0.01,0.446666666666667
"2021-07-05","Martin County",1.18,0,0.273076923076923
"2021-07-05","Miami-Dade County",1.2,0,0.19
"2021-07-05","Monroe County",0.95,0,0.429565217391304
"2021-07-05","Nassau County",1.54,0.12,0.626666666666667
"2021-07-05","Okaloosa County",1.45,0,0.721538461538462
"2021-07-05","Okeechobee County",0.33,0,0.165
"2021-07-05","Orange County",0.4,0,0.106521739130435
"2021-07-05","Osceola County",1.35,0.15,0.771666666666667
"2021-07-05","Palm Beach County",1,0,0.140454545454545
"2021-07-05","Pasco County",2.36,0,0.206428571428571
"2021-07-05","Pinellas County",0.22,0,0.0165384615384615
"2021-07-05","Polk County",0.3,0,0.0294444444444444
"2021-07-05","Putnam County",0.98,0.02,0.495555555555556
"2021-07-05","Santa Rosa County",0.93,0.04,0.378
"2021-07-05","Sarasota County",0.73,0,0.0617647058823529
"2021-07-05","Seminole County",0.21,0,0.062
"2021-07-05","St. Johns County",1.11,0,0.401666666666667
"2021-07-05","St. Lucie County",0.34,0,0.0530769230769231
"2021-07-05","Sumter County",0.69,0.42,0.555
