"DATE","county","max_prcp","min_prcp","mean_prcp"
"2023-08-27","Alachua County",0.2,0,0.00833333333333333
"2023-08-27","Baker County",0,0,0
"2023-08-27","Bay County",0,0,0
"2023-08-27","Brevard County",0.16,0,0.00432432432432432
"2023-08-27","Broward County",0.54,0,0.157142857142857
"2023-08-27","Charlotte County",0,0,0
"2023-08-27","Citrus County",0.25,0,0.095
"2023-08-27","Clay County",0,0,0
"2023-08-27","Collier County",0.69,0,0.0845454545454545
"2023-08-27","Columbia County",0,0,0
"2023-08-27","DeSoto County",0,0,0
"2023-08-27","Dixie County",0,0,0
"2023-08-27","Duval County",0,0,0
"2023-08-27","Escambia County",0.28,0,0.0264285714285714
"2023-08-27","Flagler County",0.04,0,0.00333333333333333
"2023-08-27","Franklin County",0,0,0
"2023-08-27","Gadsden County",0,0,0
"2023-08-27","Gilchrist County",0,0,0
"2023-08-27","Glades County",0,0,0
"2023-08-27","Gulf County",0.03,0.02,0.025
"2023-08-27","Hamilton County",0,0,0
"2023-08-27","Hardee County",0,0,0
"2023-08-27","Hendry County",0.1,0,0.0266666666666667
"2023-08-27","Hernando County",0.34,0,0.0963636363636364
"2023-08-27","Highlands County",0.67,0,0.0744444444444445
"2023-08-27","Hillsborough County",0.57,0,0.0425
"2023-08-27","Holmes County",0,0,0
"2023-08-27","Indian River County",0.42,0,0.141
"2023-08-27","Jackson County",0.14,0,0.07
"2023-08-27","Jefferson County",0,0,0
"2023-08-27","Lafayette County",0,0,0
"2023-08-27","Lake County",0,0,0
"2023-08-27","Lee County",0.93,0,0.167272727272727
"2023-08-27","Leon County",0.26,0,0.0568181818181818
"2023-08-27","Levy County",0.02,0,0.004
"2023-08-27","Liberty County",0.09,0.09,0.09
"2023-08-27","Madison County",0,0,0
"2023-08-27","Manatee County",0,0,0
"2023-08-27","Marion County",0,0,0
"2023-08-27","Martin County",0.28,0.03,0.16
"2023-08-27","Miami-Dade County",0.91,0,0.220869565217391
"2023-08-27","Monroe County",0.43,0,0.025
"2023-08-27","Nassau County",0,0,0
"2023-08-27","Okaloosa County",0,0,0
"2023-08-27","Okeechobee County",0,0,0
"2023-08-27","Orange County",0.49,0,0.0272222222222222
"2023-08-27","Osceola County",0,0,0
"2023-08-27","Palm Beach County",0.73,0,0.2625
"2023-08-27","Pasco County",1.4,0,0.178571428571429
"2023-08-27","Pinellas County",1.06,0,0.285757575757576
"2023-08-27","Polk County",2.75,0,0.214444444444444
"2023-08-27","Putnam County",0,0,0
"2023-08-27","Santa Rosa County",0,0,0
"2023-08-27","Sarasota County",0.2,0,0.0188235294117647
"2023-08-27","Seminole County",0,0,0
"2023-08-27","St. Johns County",0,0,0
"2023-08-27","St. Lucie County",1.28,0.01,0.306923076923077
"2023-08-27","Sumter County",0,0,0
"2023-08-27","Suwannee County",0,0,0
"2023-08-27","Volusia County",0.15,0,0.00676470588235294
"2023-08-27","Wakulla County",0,0,0
"2023-08-27","Walton County",0,0,0
"2023-08-27","Washington County",0,0,0
"2023-08-28","Alachua County",0.22,0,0.0139130434782609
"2023-08-28","Baker County",0,0,0
"2023-08-28","Bay County",0.94,0,0.106363636363636
"2023-08-28","Bradford County",0,0,0
"2023-08-28","Brevard County",0.72,0,0.12875
"2023-08-28","Broward County",0.8,0,0.141724137931034
"2023-08-28","Charlotte County",1.26,0,0.256666666666667
"2023-08-28","Citrus County",0.06,0,0.0075
"2023-08-28","Clay County",0,0,0
"2023-08-28","Collier County",2.34,0,0.664285714285714
"2023-08-28","Columbia County",0,0,0
